Row,AVG_kN,PV_peak_to_valley_kN,STD_kN
OURS(TCN+BiLSTM),-0.00736523000523448,0.22846657037735,0.0326822251081467
GRU,0.00794863048940897,0.44819587469101,0.0502882488071918
MLP,0.042066715657711,0.513853490352631,0.0576186254620552
CNN,-0.00869269110262394,0.322841286659241,0.0368714295327663
