Row,"Quasi-static RMSE (10mm, 2Hz)","Quasi-static RMSE (15mm, 2Hz)","Dynamic RMSE (10mm, 5Hz)"
OURS(TCN+BiLSTM),0.0328985669960578,0.0296754830827316,0.0336171543846528
GRU,0.0518001156548659,0.0434180367738008,0.0634709236522516
MLP,0.0666786214957635,0.0574764094005028,0.0942231441537539
CNN,0.0381949363897244,0.0372564078619083,0.0339858954151471
